,pretty_formula,bandgap,cell_length_a,cell_lentgh_b,cell_lentgh_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma
0,BrCl,1.8278,4.64594705,4.64594705,7.81070100,90.00000000,90.00000000,115.94818905
1,SrC2,1.8008000000000002,3.71078575,3.71078575,3.71078533,85.43448185,85.43448185,85.43449271
2,Cs2Se,1.8026999999999997,5.62415800,9.09580400,10.99891300,90.00000000,90.00000000,90.00000000
3,Cs2Se,1.8141000000000003,9.13635100,5.63018800,12.17363312,63.87454728,90.00000000,90.00000000
4,CsPbBr3,1.8178,8.45961172,8.45961172,8.45961172,120.09771597,120.09771597,89.83083414
5,WS2,1.8091,3.19073066,3.19073066,17.10120100,90.00000000,90.00000000,120.00001371
6,Ca7SiN6,1.8302999999999998,6.17597400,10.81628800,12.99618700,90.00000000,90.00000000,90.00000000
7,Mg30NiSnO32,1.8029000000000002,8.58667600,8.58667600,8.60606200,90.00000000,90.00000000,90.00000000
8,Mg30ZnSnO32,1.8258999999999999,8.60346400,8.60346400,8.60749100,90.00000000,90.00000000,90.00000000
9,Mg30ZnSiO32,1.8319999999999999,8.55402800,8.55402800,8.55631700,90.00000000,90.00000000,90.00000000
10,Mg30AlCO32,1.8294999999999995,8.46177900,8.46177900,8.60049300,90.00000000,90.00000000,90.00000000
11,Mg30AlNiO32,1.8232,8.47327300,8.47327300,8.55635800,90.00000000,90.00000000,90.00000000
12,Mg30BCO32,1.8067999999999995,8.54207800,8.54207800,8.44252600,90.00000000,90.00000000,90.00000000
13,KMg30SbO32,1.8357999999999999,8.63699200,8.63699200,8.69195700,90.00000000,90.00000000,90.00000000
14,Sr2LiReN4,1.8074,5.91009100,6.20549300,6.94102099,73.64337155,90.00000000,90.00000000
15,Sm3AuO6,1.8294000000000001,3.74591200,5.67705800,7.17281835,90.59167503,102.67001737,91.12226833
16,BrCl,1.8328,4.74663166,4.74663166,7.82112300,90.00000000,90.00000000,116.00747421
17,Ba2UZnO6,1.8085999999999998,6.01044724,6.01044724,6.01044724,60.00000000,60.00000000,60.00000000
18,Cs2TcF6,1.8152,6.36123019,6.36123019,5.15748600,90.00000000,90.00000000,120.00000199
19,CaFeO2,1.8241999999999998,5.56427000,5.56425200,6.90401300,90.00007239,90.00010958,90.00074139
20,KMnO2,1.8288000000000002,7.02351179,7.02351179,7.02351179,125.65595454,125.65595454,80.45434134
21,SrTa2O7,1.8358999999999999,3.98256300,3.98256300,9.25093600,90.00000000,90.00000000,90.00000000
22,Li2CuAg,1.8352000000000004,10.19233278,10.19233278,10.19233278,121.36361239,119.48716696,89.27254996
23,CsMg6BO7,1.8305000000000002,4.93148600,4.93148600,8.23424600,90.00000000,90.00000000,90.00000000
24,LiFeP2O7,1.8224999999999998,8.24163800,7.18218900,9.71731551,68.99068040,90.00000000,90.00000000
25,ScAuO2,1.8236000000000003,3.26874011,3.26874011,12.30613700,90.00000000,90.00000000,120.00000213
26,SbSBr,1.8290000000000002,4.01409500,8.78100000,10.22093000,90.00000000,90.00000000,90.00000000
27,Sr(GaSe2)2,1.8012,6.37339106,6.37339106,11.19242200,90.00000000,90.00000000,120.35292795
28,SbN2F5,1.8112,8.35535022,8.35535022,6.85887600,90.00000000,90.00000000,133.86339105
29,ScMnO3,1.8067999999999995,5.11673391,5.42253500,7.90438429,89.99940596,94.15850618,90.00043305
30,CdCl2O,1.8019,4.21322600,7.60407000,12.20181800,90.00000000,90.00000000,90.00000000
31,Na2LuCuCl6,1.8198,7.17634046,7.17634046,7.17634046,60.00000000,60.00000000,60.00000000
32,Li2ScCuCl6,1.8184,7.00508344,7.00508344,7.00508344,60.00000000,60.00000000,60.00000000
33,Na2AgSbF6,1.8237,6.46481426,6.46481426,6.46481426,60.00000000,60.00000000,60.00000000
34,K2LiRhF6,1.8347,5.80047047,5.80047047,5.80047047,60.00000000,60.00000000,60.00000000
35,Rb2YCuI6,1.8315000000000001,8.37200428,8.37200428,8.37200428,60.00000000,60.00000000,60.00000000
36,CsInCl3,1.8017,7.89798111,7.89798111,7.89798111,60.00000000,60.00000000,60.00000000
37,Rb2Se,1.8176999999999999,5.74327543,5.74327543,5.74327543,60.00000000,60.00000000,60.00000000
38,Al4Co13Si2(SbO14)2,1.8201999999999998,11.61202499,11.61202499,8.94328852,87.42624402,87.42624402,152.51888127
39,Na3Sr4La3Ti10O30,1.8204000000000002,5.55363734,27.76353330,7.88908001,44.73403392,135.25627216,120.30197052
40,Li9Mn2Co5O16,1.8096999999999999,5.08366600,5.89114957,10.09419816,88.84453635,99.76659611,107.65282792
41,Na2Sb4O11,1.8242,10.62051619,10.62051619,7.28032889,84.83384052,84.83384052,42.17221134
42,LiFe4(BO3)4,1.8278000000000003,5.23909000,9.19429110,10.12721086,89.19811944,89.66104513,88.79150875
43,Li5Mg11(WO4)12,1.8032000000000004,10.59218900,5.24610500,18.06000383,89.92176873,90.00000000,90.00000000
44,Li4V2Si(PO6)2,1.8305999999999996,15.57615245,9.01897702,8.48787452,122.15065588,72.42791135,89.95888245
45,Li3Fe8(BO3)8,1.8035999999999999,5.28912900,9.05424339,11.45152716,112.96378530,102.93079009,89.81462554
46,Li2VFeP2(HO5)2,1.8127000000000004,6.94886900,7.52793164,7.87220286,117.39529514,92.03176794,90.87291184
47,Li2VFe(P2O7)2,1.8186,9.58643296,9.58688206,7.15268492,79.29095947,79.30527161,118.76781987
48,Li2Ti3MnO8,1.811,6.03479405,17.04561675,6.01481461,89.99949572,89.99994713,89.69008858
49,Li2FePCO7,1.8343,6.47416000,8.31782852,10.18718965,95.25178037,90.14090565,90.63418519
50,Li2MnPCO7,1.8180999999999998,5.02914800,8.42840826,13.06263465,90.30566135,90.02648847,94.19336493
51,Li2Cr2(SO4)3,1.8049,8.84439485,8.87109867,24.60548084,90.00000000,90.00000000,90.00000000
52,Li15Fe15SiO32,1.8175000000000001,6.68666200,10.63040419,10.67797151,90.45933706,90.07889327,90.11705581
53,Ge2N2O,1.8275000000000001,8.39755400,5.33911500,5.89882103,64.63557026,90.00000000,90.00000000
54,Fe10OF19,1.8228,4.79219100,8.16531676,10.13370298,73.08878989,89.47798319,89.68074026
55,Cs6Br4O,1.8137999999999999,10.03981362,10.03981362,10.03981407,88.85032359,88.85032359,88.85032359
56,Cs2CeO3,1.8128,14.61778800,6.89643300,7.48297832,62.64551859,90.00000000,90.00000000
57,AlRhO3,1.8110999999999997,3.15143991,3.15143991,11.88515500,90.00000000,90.00000000,119.99999821
58,Yb2Te5O13,1.8287999999999998,7.18670700,9.01022300,10.44781036,85.27765574,88.08474612,78.53843027
59,SrCo2(AsO4)2,1.8352,5.87176300,7.12055790,9.26727264,106.43575264,108.42643829,97.70301738
60,SrUO4,1.8258999999999999,6.77945728,6.77945728,6.77945787,33.51408289,33.51408289,33.51408121
61,CsSbPO4F3,1.8296000000000001,5.74839800,10.25145400,12.88647554,69.61822978,90.00000000,90.00000000
62,IF7,1.8034,5.19826159,5.19826159,9.49071000,90.00000000,90.00000000,105.89507265
63,NdInO3,1.811,4.15585400,4.15585400,4.15585400,90.00000000,90.00000000,90.00000000
64,TaAgO3,1.8015,3.99937000,3.99937000,3.99937000,90.00000000,90.00000000,90.00000000
65,Tl2Hg3S4,1.8277999999999999,6.94914804,6.94914804,13.65254408,68.33676129,68.33676129,58.24740196
66,SmScS3,1.8363,6.46869800,7.12501700,9.57211800,90.00000000,90.00000000,90.00000000
67,KBaSbSe3,1.8064,9.38980000,9.57064600,9.57976468,71.72552902,90.00000000,90.00000000
68,BaFe2(P2O7)2,1.8235999999999999,7.58652637,9.15661138,9.63660150,64.62491659,100.88482230,100.80971897
69,Ce7ZrO16,1.8218000000000005,7.67971400,7.67971400,5.42610900,90.00000000,90.00000000,90.00000000
70,Lu2PbSe4,1.8331000000000004,4.06911200,12.61166900,14.74890200,90.00000000,90.00000000,90.00000000
71,BaFeBP2O9,1.8004,5.35472200,8.17355996,8.23622242,88.53394226,87.70107475,80.02128785
72,BiW2(Cl4O)2,1.8132,7.75882000,8.70506450,10.89178230,92.19838211,100.39717486,92.09300635
73,Sr(TbS2)2,1.8128000000000002,4.01790500,12.11005200,14.44611800,90.00000000,90.00000000,90.00000000
74,CsNa3U4(MoO10)2,1.8303999999999998,6.73002100,6.92751735,11.58945659,84.02322923,77.12970132,81.13631301
75,Sr(TmS2)2,1.8201999999999998,3.94442300,12.01022100,14.19870800,90.00000000,90.00000000,90.00000000
76,Sr(HoS2)2,1.8181000000000003,3.97721600,12.04746600,14.31585200,90.00000000,90.00000000,90.00000000
77,H6PbCI3N,1.8179,8.65008300,8.99139100,13.12265400,90.00000000,90.00000000,90.00000000
78,Ag3B5O9,1.8009,6.82145500,9.54878200,11.15106100,90.00000000,90.00000000,90.00000000
79,K6U5As2O23,1.8113000000000001,24.88358300,7.10661600,7.20729430,81.45181670,90.00000000,90.00000000
80,PrTl(PSe3)2,1.8202000000000003,7.83290400,12.04215500,12.53643400,70.55859086,90.00000000,90.00000000
81,SbXeF11,1.8279999999999998,5.98867200,8.48737700,17.23927200,90.00000000,90.00000000,90.00000000
82,Cs2Sn3(SbS5)2,1.8108,13.79491100,7.19443700,12.30087709,59.24707002,90.00000000,90.00000000
83,Al2Sb5(Se2Br3)3,1.8018999999999998,9.77984935,23.98276264,27.73227876,102.41539643,90.00000000,90.00000000
84,KS3,1.8027,12.11449400,6.59335700,12.40361224,72.70660700,90.00000000,90.00000000
85,C(NO)2,1.8228000000000002,6.91251200,7.27153600,12.64913600,90.00000000,90.00000000,90.00000000
86,USiPbO6,1.8266999999999998,6.93079800,6.72443400,13.38840599,76.75095795,90.00000000,90.00000000
87,Pr3Fe5O12,1.8327,11.09762018,11.09762018,11.09762018,109.47122063,109.47122063,109.47122063
88,GaN2OF5,1.8228000000000002,6.78544600,8.40505500,9.40728800,90.00000000,90.00000000,90.00000000
89,CuAs7PS7Br,1.8224999999999998,13.72364400,9.81192300,14.16895240,83.45534673,90.00000000,90.00000000
90,Hg3(SCl)2,1.8038,18.47595446,18.47595446,18.47595446,90.00000000,90.00000000,90.00000000
91,Li3As7(H3N)13,1.8092,9.97534885,13.17335914,23.18452701,90.00000000,90.00000000,90.00000000
92,Co2SnC8SeO8,1.81,15.56742253,12.83966206,12.64485179,75.29881504,52.91829418,51.78289077
93,U2H12C2Se3(N3O8)2,1.8317,9.88121800,10.30508700,10.31388891,89.70478393,90.00000000,90.00000000
94,RbAuC4S4(OF)12,1.8291,21.92170000,9.62812500,14.76235318,49.51438423,90.00000000,90.00000000
95,Sr15Ti23O61,1.8133,5.64097175,23.40658862,30.11133810,90.00000000,90.53545969,90.00000000
96,Sr2Mn2SeO4,1.8317999999999999,6.35441600,9.66541600,10.44861800,90.00000000,90.00000000,90.00000000
97,Nd3Fe5O12,1.8330999999999995,11.06899978,11.06899978,11.06899978,109.47122063,109.47122063,109.47122063
98,Pr4As2S9,1.8339999999999996,7.07638700,7.14005500,29.49246200,90.00000000,90.00000000,90.00000000
99,Ba6Zr(Zn3S7)2,1.8259000000000003,12.72245978,12.72245978,12.72245978,98.75131606,98.75131606,134.08364843
100,Sr5Ti7O19,1.8352,3.83557400,5.61462200,32.32718700,90.00000000,90.00000000,90.00000000
101,AgIO3,1.8222999999999998,5.91228300,6.29886900,17.39620200,90.00000000,90.00000000,90.00000000
102,HgWO4,1.8012,7.45255700,6.82137600,14.23735303,62.39953776,90.00000000,90.00000000
103,NiP2H26C8S4(NO)2,1.8349999999999997,10.43517948,13.81536008,15.01705520,90.00000000,100.64293898,90.00000000
104,TiSi3H30C10(N2Cl)2,1.807,9.90931600,10.41884647,12.88444107,90.11868805,94.71217714,108.37431114
105,NaNbO3,1.8049,7.92643000,7.96962400,23.70330800,90.00000000,90.00000000,90.00000000
106,Ba2GaSbSe5,1.8066999999999998,9.27160300,9.45881500,12.80890900,90.00000000,90.00000000,90.00000000
107,CuAs7PS7Cl,1.8362,13.71316800,9.69432100,14.06342485,83.78025031,90.00000000,90.00000000
108,Cs5Na(W2N5)2,1.8355,11.02153945,11.02153945,11.02153945,99.50089813,99.50089813,132.05733058
109,CoB10H31C18O,1.8074999999999999,9.19023430,10.85336206,24.99028927,90.00000000,90.00000000,103.49527693
110,Mn(BH4)2,1.8283,10.27996985,10.27996985,10.97785800,90.00000000,90.00000000,119.99999905
111,MoH12C2(S2N)2,1.8194000000000001,7.16798600,9.58110700,16.26657900,90.00000000,90.00000000,90.00000000
112,Cs2ReF6,1.8041,6.33124834,6.33124834,5.10735200,90.00000000,90.00000000,120.00000357
113,FeAg3F6,1.8152,6.14514206,6.14514206,6.14514206,115.95844008,115.95844008,97.15545277
114,NaSr2ReO6,1.8019999999999998,5.80917212,5.80917212,5.80917212,60.00000000,60.00000000,60.00000000
115,Sr2FeSbO6,1.8049999999999997,8.02295500,9.82936986,8.02294900,114.08654559,89.99874310,65.91344803
116,YbCeO3,1.8093,5.74674900,5.93770300,8.45043800,90.00000000,90.00000000,90.00000000
117,V3Pb2O9,1.8104999999999998,9.16557479,9.16557479,7.14739420,77.95914642,77.95914642,130.34993777
118,UCr(HO3)2,1.8085,7.07200900,14.62336000,17.17572448,54.16281384,90.00000000,90.00000000
119,Rb3CrO8,1.8015999999999999,6.41849631,6.41849631,6.41849631,112.64494988,112.64494988,103.29477751
120,RbAgTeS3,1.8312,11.00699200,7.76295000,8.74913593,73.92260487,90.00000000,90.00000000
121,Na3MnO4,1.8316,7.89456400,7.89456400,7.89456400,90.00000000,90.00000000,90.00000000
122,MgMnZnSiO6,1.8303,5.15463685,5.15463685,17.99936000,90.00000000,90.00000000,109.08208624
123,MgU(MoO4)4,1.8221,6.62741900,7.98077300,14.04670477,55.72267063,90.00000000,90.00000000
124,MnH7C4N3O7,1.8214000000000001,6.95982800,10.93267000,13.96818269,59.18082141,90.00000000,90.00000000
125,KAgTeS3,1.8271000000000002,10.94271900,7.47139000,8.66802985,73.66076464,90.00000000,90.00000000
126,GdInO3,1.8356999999999997,6.41948740,6.41948740,12.45464500,90.00000000,90.00000000,119.99999387
127,H8RuN3Cl5O,1.8296000000000001,7.04392700,10.78663400,13.88635000,90.00000000,90.00000000,90.00000000
128,CsCuTeS3,1.8110000000000002,9.19353100,9.19353100,9.19353100,90.00000000,90.00000000,90.00000000
129,AsPb2S3I,1.8256000000000001,6.84606800,9.71653200,11.92286400,90.00000000,90.00000000,90.00000000
130,Ba6Na2Ta2Mn2O17,1.83,5.98100365,5.98100365,30.38119500,90.00000000,90.00000000,119.99999613
131,Tm2TeS2,1.8342,7.47006772,7.47006772,7.47006772,147.84374910,138.57635243,53.38479744
132,SrTi4Bi4O15,1.8199999999999994,20.78753291,20.78753291,5.55620900,90.00000000,90.00000000,164.79938861
133,SrLaTiFeO6,1.8126000000000007,5.58476472,5.58477956,9.67304234,73.22031492,73.22026461,60.00305329
134,SrLiTi4CrO11,1.8287000000000004,5.83632400,10.01627200,13.97670500,90.00000000,90.00000000,90.00000000
135,Sr4HfTi3O12,1.8036999999999996,8.92408941,8.92408941,4.00848100,90.00000000,90.00000000,126.82468666
136,Sr2VAs2O9,1.8249,9.10983086,9.10983086,7.01112922,77.75906716,77.75906716,130.55023880
137,Sr8SnPb3O16,1.8012999999999995,6.02654100,6.02654100,12.71750000,90.00000000,90.00000000,90.00000000
138,Sr2LiLaTi4O12,1.8334000000000001,8.77199082,8.77199082,8.77199082,143.12009227,143.12009227,53.14511776
139,Sr2La2MgMnO8,1.8114,5.50375200,5.50629200,12.61420700,90.00000000,90.00000000,90.00000000
140,Sr2FeSbO6,1.8089999999999997,5.66784900,5.70076001,7.98756523,90.01738633,90.00078865,90.00098779
141,Sr2CaTi3O9,1.8153000000000001,3.92825800,3.92825800,11.78460200,90.00000000,90.00000000,90.00000000
142,Pr2Si2PbSe8,1.8287000000000004,9.44488245,9.44488245,10.73949194,65.48630052,65.48630052,60.34519965
143,Nd2Si2PbSe8,1.8178,9.43888537,9.43888537,10.74858381,65.07450893,65.07450893,60.16641766
144,Nd3Y3(Fe5O12)2,1.8206999999999995,10.97396734,10.97396734,10.97396734,109.47122063,109.47122063,109.47122063
145,NaSr2LaTi4O12,1.8303000000000003,8.78097406,8.78097406,8.78097406,143.12031919,143.12031919,53.14477736
146,NaLiZnS2,1.8328,3.98205630,3.98205630,6.82385000,90.00000000,90.00000000,120.00000496
147,Mo6NO18,1.8247000000000002,10.91061186,10.91061186,3.78931000,90.00000000,90.00000000,119.99999914
148,Mn3V2O8,1.8176,11.13356124,11.13356124,11.13356124,142.64695297,142.64695297,53.85546775
149,Mn2Cr3FeO8,1.8039,6.08774918,6.08778314,6.08774706,60.13115760,119.86876503,119.86891543
150,MgCoSiO4,1.8285999999999998,4.81636600,6.09147700,10.29633200,90.00000000,90.00000000,90.00000000
151,LiSmS2,1.8048000000000006,6.62755539,6.62755539,6.62755618,35.15153359,35.15153359,35.15153153
152,Li2CaV12O32,1.8239999999999998,7.96539415,7.96539415,12.27502559,74.39486444,74.39486444,54.23289301
153,K3Er7S12,1.8297,3.96379700,11.89950000,24.73478900,90.00000000,90.00000000,90.00000000
154,K9Ta2VS12,1.8268,9.33580500,14.42360111,21.82888093,78.92062648,89.99009150,89.99307220
155,La9In5S21,1.8282000000000007,12.09209238,12.09209238,12.09209148,94.99290805,94.99290805,94.99290724
156,Gd2FeSbO7,1.8178,7.32300163,7.32300163,7.32300163,120.32832739,119.60575543,90.05823337
157,Er2TeS2,1.8152000000000004,7.49243114,7.49243114,7.49243114,147.86559447,138.35836698,53.55020880
158,CsFeCoF6,1.833,7.46864622,7.46864622,7.46864622,120.69858215,119.40738052,89.91190116
159,BaSr4Ti5O15,1.8033000000000001,3.95680000,3.95680000,19.77739800,90.00000000,90.00000000,90.00000000
160,BaLaTiFeO6,1.8053,5.65273465,5.65273465,9.79082279,73.22134800,73.22134800,60.00000000
161,BaSr(FeO2)4,1.8296,10.46439603,10.46439603,5.48345400,90.00000000,90.00000000,133.24855636
162,Ba2SrTi3O9,1.8082999999999996,8.91335345,8.91335345,4.09803600,90.00000000,90.00000000,143.08189393
163,Al3BC3,1.819,5.93351412,5.93351412,15.93134300,90.00000000,90.00000000,120.00000137
164,CsVFeF6,1.814,7.55844138,7.55844138,7.55844138,121.15435410,119.44439351,89.48868368
165,Ho2MgS4,1.8104,7.87432556,7.87432556,7.87432556,60.00000000,60.00000000,60.00000000
166,Si3N4,1.832399999999999,10.26112053,10.19211089,11.14124329,88.52537779,90.55859930,90.00350975
167,Ca3Co2(Si2O7)2,1.8255,9.35006770,9.35006770,10.10626042,60.32411045,60.32411045,48.69037883
168,VZnSiO5,1.8218,5.20717883,5.55364379,12.88019845,88.34183931,89.57450561,78.79631073
169,AlMo3F15,1.8206,9.98670800,6.04121100,10.11161293,75.13691498,90.00000000,90.00000000
170,Be3Cr2(SiO4)3,1.8257999999999996,7.50964800,8.00805200,15.92519718,59.93898479,90.00000000,90.00000000
171,VOF2,1.8062,5.30032504,5.42230960,7.39266555,92.51329779,89.99440438,89.98789344
172,Zn2CrWO6,1.8014999999999999,5.24152613,5.54168026,7.63777141,85.27371151,90.04798136,90.04995760
173,Li2VOF3,1.8223,5.05453053,9.82560386,6.00609024,95.67912540,89.79492760,90.18314850
174,Mg2CrWO6,1.8177000000000003,5.19262648,5.35663600,7.61943653,89.99961129,89.95446938,89.99931589
175,V4OF11,1.8285,5.29662424,5.46206455,9.10464076,73.97683941,89.71052365,60.72620278
176,Li3Fe2(SiO4)2,1.8254,6.44731574,7.35517112,7.61588823,90.02139486,90.86068248,89.97929588
177,Na3V3O8,1.8293000000000001,5.62576232,8.87041848,8.90707564,66.40844622,71.62970167,71.52992269
178,Li2V3SbO8,1.8198999999999996,6.04909753,6.16029134,8.62450111,88.60789413,89.99534133,90.01329733
179,ErAg(PSe3)2,1.8335,6.65356498,6.65356498,15.23170800,90.00000000,90.00000000,119.99998982
180,Sr(CuO)2,1.8159999999999998,6.28748970,6.28748970,6.28748970,127.89824700,127.89824700,76.78992193
181,RhPb2F7,1.8128999999999995,12.02533400,5.69440000,9.03287812,89.33679646,90.00000000,90.00000000
182,Cs2NbAgSe4,1.8314999999999997,14.98631258,13.34295381,8.10174739,84.93618496,62.48224300,32.58157204
183,P3RhO9,1.8079999999999998,11.73971711,11.73971711,9.49826437,70.08890181,70.08890181,111.22785473
184,AlP,1.8232,3.89411624,3.89411624,3.89411624,60.00000000,60.00000000,60.00000000
185,V2OF5,1.8125999999999998,5.32545391,13.49350815,5.31031626,89.87647544,119.97121421,89.78794308
186,SrV3P4O17,1.8247,7.64008900,10.20197200,16.53575600,90.00000000,90.00000000,90.00000000
187,Mg2V3O8,1.8265000000000002,5.91582400,5.91587182,9.50561500,90.00171664,89.99775559,120.00044125
188,K3NbSe4,1.8249,9.77072800,9.90930200,11.34190500,90.00000000,90.00000000,90.00000000
189,Ho3CuSiS7,1.8320999999999996,9.84938868,9.84938868,5.70385300,90.00000000,90.00000000,120.00000454
190,K2Nb4Fe2O13,1.8183999999999998,8.43258061,8.43258061,9.63593106,80.02825173,80.02825173,27.17030742
191,Zn(AuF4)2,1.8022,5.77367300,5.63970700,11.12420065,70.20006894,90.00000000,90.00000000
192,CsCuS4,1.8079999999999994,5.27976200,9.07940700,13.95644300,90.00000000,90.00000000,90.00000000
193,Sr3P14,1.8228999999999997,12.87291600,6.38560800,11.84372888,57.30869105,90.00000000,90.00000000
194,Rb2MoS4,1.8107000000000002,7.15339100,9.93311400,12.75021600,90.00000000,90.00000000,90.00000000
195,TiMnO3,1.8011999999999997,5.25527659,7.65636879,5.55879948,85.39878893,90.00050566,90.00010159
196,Cd(FeO2)2,1.8303999999999998,6.24342405,6.24342518,6.24342541,120.01997264,120.02123171,89.96437922
197,Na3FePCO7,1.8032000000000001,6.68129200,5.21795100,9.08663547,89.38793239,90.00000000,90.00000000
198,V5(PbO6)2,1.8291,5.38299400,8.37877000,11.92502377,81.27417903,90.00000000,90.00000000
199,K2PdCl4,1.8353,7.14208200,7.14208200,4.22582900,90.00000000,90.00000000,90.00000000
200,SbSBr,1.8194,3.99459500,8.67747100,10.38560300,90.00000000,90.00000000,90.00000000
201,K2SeBr6,1.8314,7.57782579,7.57782579,7.57782579,60.00000000,60.00000000,60.00000000
202,Ca2PI,1.8020999999999998,7.89063765,7.89063765,7.89063792,31.70174695,31.70174695,31.70174112
203,CsCu2Cl3,1.8298999999999999,7.92486277,7.92486277,5.34507700,90.00000000,90.00000000,104.19660832
204,ReNClF5,1.8001999999999998,8.64488400,5.12207400,6.48347993,84.36966457,90.00000000,90.00000000
205,Ba2YBiO6,1.8249,6.16635721,6.16635721,6.16635721,60.00000000,60.00000000,60.00000000
206,PtCl2,1.8306,8.62061340,8.62061340,8.62061335,108.12969158,108.12969158,108.12969064
207,P4Se5,1.8261999999999998,6.93958500,11.81349600,13.55793400,90.00000000,90.00000000,90.00000000
208,Mn(PO3)3,1.8006,8.38917900,8.40704900,9.06652100,90.00000000,90.00000000,90.00000000
209,Mo(PO3)4,1.8064,8.35317600,9.49590900,13.14281000,90.00000000,90.00000000,90.00000000
210,Li3V3(PO4)4,1.8150000000000002,8.07245400,8.82876703,13.20032422,85.10910428,89.81687038,89.97238646
211,Li4Co5(P3O11)2,1.8052999999999995,6.55399200,10.59413900,12.65236134,76.42525556,90.00000000,90.00000000
212,Li3V2(PO4)3,1.8041,8.60420162,8.60420162,6.38619734,74.02624658,74.02624658,93.77313532
213,V2Co2O7,1.8148000000000002,8.46762100,6.69384000,9.58176091,79.67083872,90.00000000,90.00000000
214,SnI2,1.8334000000000001,7.75139562,7.75139562,11.16645142,88.27489990,88.27489990,33.83871021
215,Cs2VF6,1.8321,8.19897480,8.19897480,7.41198000,90.00000000,90.00000000,134.83618952
216,Ba(TeO3)2,1.8269999999999995,7.15062744,7.15062744,7.46171600,90.00000000,90.00000000,133.34659434
217,Tl4HgBr6,1.8319999999999999,9.11194400,9.11194400,9.13436900,90.00000000,90.00000000,90.00000000
218,TlBr2,1.807,8.15679700,10.79106500,10.90624000,90.00000000,90.00000000,90.00000000
219,Si(PbSe2)2,1.8174999999999994,7.38648800,8.80241700,13.99064529,71.95048281,90.00000000,90.00000000
220,Na2TeO4,1.8214000000000001,5.29161000,5.84186500,12.36747800,90.00000000,90.00000000,90.00000000
221,VH2O3,1.8135999999999999,3.81532702,5.76549928,5.72317320,65.15646191,70.52439274,70.67406101
222,Zn2(PS3)3,1.8233,10.85222858,10.85222858,7.12886410,85.62253865,85.62253865,59.74786324
223,K2TeI6,1.8184,8.50225900,8.20945700,14.27361814,55.02381220,90.00000000,90.00000000
224,ICl3,1.8148,6.01729100,6.23876685,8.83965516,71.26674224,84.61223999,85.56688699
225,K2CdO2,1.8215,6.28542500,6.30258700,10.14686600,90.00000000,90.00000000,90.00000000
226,TlAgI2,1.8257000000000003,7.19058260,7.19058260,7.19058260,107.37996110,107.37996110,113.73993750
227,SiP,1.8187000000000002,10.43413284,10.43413284,15.61111900,90.00000000,90.00000000,160.51928013
228,KTlBr4,1.8178999999999998,8.14915100,10.84226600,10.89050000,90.00000000,90.00000000,90.00000000
229,Li2MnBr4,1.8023999999999998,6.82735467,6.82735467,3.90197200,90.00000000,90.00000000,109.80180109
230,BaGe2O5,1.8242000000000003,5.74273479,5.74273479,14.61231300,90.00000000,90.00000000,121.44549764
231,Mn2O7,1.8047000000000002,17.84599800,7.15065100,9.94430159,79.22414348,90.00000000,90.00000000
232,Tl6SBr4,1.8121,9.00879800,9.00879800,9.56734100,90.00000000,90.00000000,90.00000000
233,VSeO4,1.8343,10.01173400,3.98594700,8.18211248,81.13252341,90.00000000,90.00000000
234,Sr(YS2)2,1.8129000000000004,4.00376400,12.06357600,14.40180700,90.00000000,90.00000000,90.00000000
235,Ga3Bi5Cl12,1.8019000000000003,12.44358772,12.44358772,12.44358736,58.12840624,58.12840624,58.12840927
236,GaCuCl4,1.8316,5.57895300,5.57895300,10.23143400,90.00000000,90.00000000,90.00000000
237,K2Ge2Se5,1.8022,11.91312300,10.07485500,10.43443056,89.84832108,90.00000000,90.00000000
238,Cd3PCl3,1.8315000000000001,7.79893763,7.79893763,7.25730300,90.00000000,90.00000000,119.99999684
239,Cs2UO4,1.8352000000000004,8.28285058,8.28285058,8.28285058,149.00694208,149.00694208,44.40108787
240,AlCuO2,1.8152,2.87981529,2.87981529,11.41329600,90.00000000,90.00000000,119.99998380
241,Li3V3(PO4)4,1.8277999999999999,4.98265700,8.23030600,15.53312340,67.95092486,90.00000000,90.00000000
242,LiV2P3O11,1.8246000000000002,7.28534328,7.28534328,8.82018156,70.47573180,70.47573180,73.33401316
243,W(ClO)2,1.8124,3.87457900,7.72434600,8.32216400,90.00000000,90.00000000,90.00000000
244,LiMoO2,1.8344000000000005,3.18054000,5.08430600,5.26442500,90.00000000,90.00000000,90.00000000
245,KAuS5,1.8049000000000002,10.60600099,10.60600099,10.60600099,129.97678447,117.36350644,84.13923397
246,TiOF2,1.832,3.80470200,3.80470200,7.89354000,90.00000000,90.00000000,90.00000000
247,Ti3Zn2O8,1.8363,5.92000854,5.92000854,5.92000918,61.04571012,61.04571012,61.04571202
248,Ce2Y2O7,1.8245999999999998,3.75973900,7.79788800,10.90622500,90.00000000,90.00000000,90.00000000
249,Si3N4,1.8207000000000004,6.20614952,6.20614952,3.97691200,90.00000000,90.00000000,119.99999483
250,SnPS3,1.8218000000000005,7.73139700,6.63060700,11.40735240,55.94071228,90.00000000,90.00000000
251,TlAsS2,1.8266999999999998,11.64452500,6.31962900,13.03522154,74.44715194,90.00000000,90.00000000
252,Ag2WO4,1.8031,5.98296300,10.95570600,12.62809400,90.00000000,90.00000000,90.00000000
